assay,tiff_file,sample_id,project_name,probe_control
RNAScope_3plex+IF,Z:/FUSION DATA/AshleyVolaric/RNAScopeRound2/233_CTEBV6.tif,CTEBV_6,RNAScopeRound2,
RNAScope_3plex+IF,Z:/FUSION DATA/AshleyVolaric/RNAScopeRound2/234_CTEBV1_CTEBV2.tif,CTEBV_1,RNAScopeRound2,
RNAScope_3plex+IF,Z:/FUSION DATA/AshleyVolaric/RNAScopeRound2/234_CTEBV1_CTEBV2.tif,CTEBV_2,RNAScopeRound2,
RNAScope_3plex+IF,Z:/FUSION DATA/AshleyVolaric/RNAScopeRound2/235_CTEBV1.tif,CTEBV_1,RNAScopeRound2,
RNAScope_3plex+IF,Z:/FUSION DATA/AshleyVolaric/RNAScopeRound2/236_D-EB-13_D-EB-62.tif,D_EB_13,RNAScopeRound2,
RNAScope_3plex+IF,Z:/FUSION DATA/AshleyVolaric/RNAScopeRound2/236_D-EB-13_D-EB-62.tif,D_EB_62,RNAScopeRound2,
RNAScope_3plex+IF,Z:/FUSION DATA/AshleyVolaric/RNAScopeRound2/237_D-EB-15_D-EB-16.tif,D_EB_15,RNAScopeRound2,
RNAScope_3plex+IF,Z:/FUSION DATA/AshleyVolaric/RNAScopeRound2/237_D-EB-15_D-EB-16.tif,D_EB_16,RNAScopeRound2,
RNAScope_3plex+IF,Z:/FUSION DATA/AshleyVolaric/RNAScopeRound2/238_D-EB-17.tif,D_EB_17,RNAScopeRound2,
RNAScope_3plex+IF,Z:/FUSION DATA/AshleyVolaric/RNAScopeRound2/239_D-EB-18.tif,D_EB_18,RNAScopeRound2,
RNAScope_3plex+IF,Z:/FUSION DATA/AshleyVolaric/RNAScopeRound2/240_D-EB-20.tif,D_EB_20,RNAScopeRound2,
RNAScope_3plex+IF,Z:/FUSION DATA/AshleyVolaric/RNAScopeRound2/241_D-EB-21_D-EB-22.tif,D_EB_21,RNAScopeRound2,
RNAScope_3plex+IF,Z:/FUSION DATA/AshleyVolaric/RNAScopeRound2/241_D-EB-21_D-EB-22.tif,D_EB_22,RNAScopeRound2,
RNAScope_3plex+IF,Z:/FUSION DATA/AshleyVolaric/RNAScopeRound2/242_D-EB-23_D-EB-24.tif,D_EB_23,RNAScopeRound2,
RNAScope_3plex+IF,Z:/FUSION DATA/AshleyVolaric/RNAScopeRound2/242_D-EB-23_D-EB-24.tif,D_EB_24,RNAScopeRound2,
RNAScope_3plex+IF,Z:/FUSION DATA/AshleyVolaric/RNAScopeRound2/243_D-EB-25.tif,D_EB_25,RNAScopeRound2,
RNAScope_3plex+IF,Z:/FUSION DATA/AshleyVolaric/RNAScopeRound2/244_CTEBV14.tif,CTEBV_14,RNAScopeRound2,
RNAScope_3plex+IF,Z:/FUSION DATA/AshleyVolaric/RNAScopeRound2/245_CTEBV14_NegCTL.tif,CTEBV_14,RNAScopeRound2,negative_probe
RNAScope_3plex+IF,Z:/FUSION DATA/AshleyVolaric/RNAScopeRound2/300_CellPellet_EBER-LMP1-EBNA1_GM12878.ome.tiff,GM12878,RNAScopeRound2,
RNAScope_3plex+IF,Z:/FUSION DATA/AshleyVolaric/RNAScopeRound2/300_CellPellet_EBER-LMP1-EBNA1_GM18502.ome.tiff,GM18502,RNAScopeRound2,
RNAScope_3plex+IF,Z:/FUSION DATA/AshleyVolaric/RNAScopeRound2/300_CellPellet_EBER-LMP1-EBNA1_GM18502_2.ome.tiff,GM18502,RNAScopeRound2,
RNAScope_3plex+IF,Z:/FUSION DATA/AshleyVolaric/RNAScopeRound2/300_CellPellet_EBER-LMP1-EBNA1_PC3Chung.ome.tiff,PC3Chung,RNAScopeRound2,
RNAScope_3plex+IF,Z:/FUSION DATA/AshleyVolaric/RNAScopeRound2/300_CellPellet_EBER-LMP1-EBNA1_PC3Guise.ome.tiff,PC3Guise,RNAScopeRound2,
RNAScope_3plex+IF,Z:/FUSION DATA/AshleyVolaric/RNAScopeRound2/301_CellPellet_NegCTL_Scan2_GM12878.ome.tiff,GM12878,RNAScopeRound2,negative_probe
RNAScope_3plex+IF,Z:/FUSION DATA/AshleyVolaric/RNAScopeRound2/301_CellPellet_NegCTL_Scan2_GM18502.ome.tiff,GM18502,RNAScopeRound2,negative_probe
RNAScope_3plex+IF,Z:/FUSION DATA/AshleyVolaric/RNAScopeRound2/301_CellPellet_NegCTL_Scan2_PC3Chung.ome.tiff,PC3Chung,RNAScopeRound2,negative_probe
RNAScope_3plex+IF,Z:/FUSION DATA/AshleyVolaric/RNAScopeRound2/301_CellPellet_NegCTL_Scan2_PC3Guise.ome.tiff,PC3Guise,RNAScopeRound2,negative_probe
